"Description: ","Standardised Precipitation Index"
"Station: ","Vercelli_94_24"
"Latitude: ","0"
"Longitude: ","0"
"Climpact_version: ","3.3"
"Date_of_calculation: ","2025-06-20"
time, spi
1994-01, -99.9
1994-02, -99.9
1994-03, -99.9
1994-04, -99.9
1994-05, -99.9
1994-06, -99.9
1994-07, -99.9
1994-08, -99.9
1994-09, -99.9
1994-10, -99.9
1994-11, -99.9
1994-12, -99.9
1995-01, -99.9
1995-02, -99.9
1995-03, -99.9
1995-04, -99.9
1995-05, -99.9
1995-06, -99.9
1995-07, -99.9
1995-08, -99.9
1995-09, -99.9
1995-10, -99.9
1995-11, -99.9
1995-12, 0.727381150563594
1996-01, 0.948671017276294
1996-02, 0.790671234361181
1996-03, 0.800402357629008
1996-04, 0.756937595212018
1996-05, 0.70859558527202
1996-06, 0.668394090487219
1996-07, 0.642664474737094
1996-08, 0.631318566669543
1996-09, 0.306223703289312
1996-10, 0.553879198440119
1996-11, 0.42576296996629
1996-12, 0.727918523153853
1997-01, 0.933613814619051
1997-02, 0.756238663229699
1997-03, 0.739557700641825
1997-04, 0.490418061900347
1997-05, 0.0408401300103291
1997-06, 0.268699922410883
1997-07, 0.126930515888803
1997-08, 0.0647229836466443
1997-09, -0.37451243862262
1997-10, -0.297346248397882
1997-11, -0.448432608689888
1997-12, -0.303839030386102
1998-01, -0.793086769571251
1998-02, -0.762445462129247
1998-03, -0.820998952264776
1998-04, -0.459282023699002
1998-05, -0.499403970094975
1998-06, -0.212031511611235
1998-07, -0.216837294151423
1998-08, -0.482152187073286
1998-09, -0.496826821279043
1998-10, -0.587738076444113
1998-11, -0.861615689926131
1998-12, -1.11335934227353
1999-01, -1.17931087775431
1999-02, -1.11142915668894
1999-03, -0.814331091896983
1999-04, -0.702503488278909
1999-05, -0.572209265945655
1999-06, -0.857188525503333
1999-07, -0.770028372688369
1999-08, -0.380247504475782
1999-09, -0.0861971291482708
1999-10, -0.118044000638802
1999-11, -0.265878827093739
1999-12, -0.536820654404688
2000-01, -0.681756145312604
2000-02, -0.70774368445448
2000-03, -0.625854100359883
2000-04, -0.583525936047678
2000-05, -0.740465364602099
2000-06, -0.963150593099878
2000-07, -0.780382478020169
2000-08, -0.701981349641749
2000-09, -0.721878755894768
2000-10, -0.422320101064453
2000-11, 0.221629997640759
2000-12, 0.163225189872175
2001-01, -0.077672672225566
2001-02, 0.0487102979542316
2001-03, 0.150383331219988
2001-04, 0.0895514264389616
2001-05, 0.0643063950641891
2001-06, -0.141441118274922
2001-07, -0.19558394215397
2001-08, -0.514504606551323
2001-09, -0.609262944039858
2001-10, -0.478410815576396
2001-11, -0.365620788029442
2001-12, -0.393406460144961
2002-01, -0.406664013262281
2002-02, 0.132031226611043
2002-03, 0.145190195216199
2002-04, -0.241578350749105
2002-05, 0.432287355851461
2002-06, 0.408824642746491
2002-07, 0.407654754094532
2002-08, 0.575016960390032
2002-09, 0.709642485186831
2002-10, 0.37772755607363
2002-11, 0.42750332778756
2002-12, 0.422869706321284
2003-01, 0.335292287226542
2003-02, 0.230703370247047
2003-03, -0.131569187711678
2003-04, -0.0572015316658943
2003-05, -0.308009619994613
2003-06, -0.265747062807868
2003-07, -0.127421924852689
2003-08, -0.145310481885472
2003-09, -0.121578055304716
2003-10, -0.0109636668429171
2003-11, 0.554030077449213
2003-12, 0.972115096042637
2004-01, 1.04636871393861
2004-02, 0.808346026166468
2004-03, 0.742744655831088
2004-04, 0.9803049063557
2004-05, 0.531910647114073
2004-06, 0.467784548677256
2004-07, 0.262394965200249
2004-08, 0.0359215898952546
2004-09, -0.182300927049752
2004-10, -0.0691803118433251
2004-11, -0.384442952809165
2004-12, -0.442137517584427
2005-01, -0.542492466322214
2005-02, -0.495378536051065
2005-03, -0.43891185695878
2005-04, -0.243504169245285
2005-05, -0.15927996678321
2005-06, -0.0933623792448443
2005-07, -0.138967063037851
2005-08, -0.0783038310513364
2005-09, 0.0965141441772982
2005-10, 0.213747555384379
2005-11, -0.3487892800564
2005-12, -0.78036444150523
2006-01, -0.827401417238601
2006-02, -0.87129315605161
2006-03, -0.855784611177065
2006-04, -1.12126168989702
2006-05, -1.58392939450611
2006-06, -1.51338755998438
2006-07, -1.50308039152955
2006-08, -1.40790630718812
2006-09, -0.657535367753415
2006-10, -0.764944259443397
2006-11, -1.05271795775929
2006-12, -0.884897778303908
2007-01, -0.834285646304954
2007-02, -0.78012887440703
2007-03, -0.80966772665108
2007-04, -1.13075992464622
2007-05, -1.12131550974611
2007-06, -0.691035470105566
2007-07, -0.88173548430648
2007-08, -0.765780487758687
2007-09, -0.879808586307795
2007-10, -1.03610640569451
2007-11, -0.78601299504569
2007-12, -0.886257831597908
2008-01, -0.857745581578424
2008-02, -0.921400013328511
2008-03, -0.953120298617079
2008-04, -0.745847648117488
2008-05, -0.383428722461668
2008-06, -0.115991384079643
2008-07, 0.0874191885731874
2008-08, 0.0860888755887596
2008-09, -0.453179630851907
2008-10, -0.475664536503164
2008-11, 0.166536741310884
2008-12, 0.459759227617059
2009-01, 0.486968412955865
2009-02, 0.656193652877355
2009-03, 0.893604082990044
2009-04, 1.37117562825319
2009-05, 1.34535237851636
2009-06, 1.10681846509995
2009-07, 1.15345247460953
2009-08, 0.93255784539391
2009-09, 0.980414073722083
2009-10, 0.930835625528239
2009-11, 1.0463703821291
2009-12, 1.14384029908053
2010-01, 1.02405435541558
2010-02, 1.17402608996588
2010-03, 1.29386001540885
2010-04, 1.13414429908956
2010-05, 1.31204637342784
2010-06, 1.36514964906593
