"Description: ","Annual total precipitation divided by the number of wet days (when total precipitation >= 1.0 mm)"
"Station: ","Vercelli_94_24"
"Latitude: ","0"
"Longitude: ","0"
"Climpact_version: ","3.3"
"Date_of_calculation: ","2025-06-20"
time, sdii, standardised values (using all years)
1994, 14.221875, 1.94489840862977
1995, 11.7540540540541, 0.509900944975459
1996, 9.5978947368421, -0.743870385767452
1997, 8.79310344827586, -1.21184333970515
1998, 10.9377049180328, 0.0352072920297678
1999, 11.7137931034483, 0.486489861566613
2000, -99.9, -99.9
2001, 7.64615384615385, -1.87877574932272
2002, 13.3181818181818, 1.41941562351881
2003, -99.9, -99.9
2004, 11.5627118644068, 0.39863859537712
2005, 10.7535714285714, -0.0718633164700107
2006, 10.85, -0.0157916814305363
2007, 11.1481481481481, 0.157576583835469
2008, 11.8586956521739, 0.5707483205281
2009, 11.3473684210526, 0.273419909825597
2010, 12.7290322580645, 1.0768348030301
2011, 13.0206896551724, 1.24642880286765
2012, 11.0852941176471, 0.121027994482762
2013, 10.8627906976744, -0.0083541002108425
2014, 13.3650485436893, 1.44666785684778
2015, 10.940625, 0.0369052718704363
2016, 10.8177215189873, -0.0345610895028402
2017, 7.09056603773585, -2.20184096085147
2018, 9.82068965517241, -0.614318789552873
2019, 10.8227848101266, -0.031616868628722
2020, 11.4970588235294, 0.360462427330961
2021, 8.48840579710145, -1.38902003371733
2022, 8.02352941176471, -1.65933803833874
2023, 9.68529411764706, -0.693049077201241
2024, 11.6847826086957, 0.469620733983542
