"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","Vercelli_94_24"
"Latitude: ","0"
"Longitude: ","0"
"Climpact_version: ","3.3"
"Date_of_calculation: ","2025-06-20"
time, spei
1994-01, -99.9
1994-02, -99.9
1994-03, -99.9
1994-04, -99.9
1994-05, -99.9
1994-06, -99.9
1994-07, -99.9
1994-08, -99.9
1994-09, -99.9
1994-10, -99.9
1994-11, -99.9
1994-12, -99.9
1995-01, -99.9
1995-02, -99.9
1995-03, -99.9
1995-04, -99.9
1995-05, -99.9
1995-06, -99.9
1995-07, -99.9
1995-08, -99.9
1995-09, -99.9
1995-10, -99.9
1995-11, -99.9
1995-12, 0.993821297043603
1996-01, 1.26008057058107
1996-02, 1.10487715030315
1996-03, 1.2382418183805
1996-04, 1.26784824421318
1996-05, 1.30521646521733
1996-06, 1.20703164207475
1996-07, 1.21985367458418
1996-08, 1.26123739967799
1996-09, 1.00454386721631
1996-10, 1.14097651677641
1996-11, 0.949024752767794
1996-12, 1.13827919013171
1997-01, 1.33811894639341
1997-02, 1.15347631346302
1997-03, 1.04769608200507
1997-04, 0.842605619647172
1997-05, 0.394950006914422
1997-06, 0.646165632601369
1997-07, 0.499193741592175
1997-08, 0.517562584171031
1997-09, -0.00285057964322284
1997-10, -0.0410903705522513
1997-11, -0.130010268927089
1997-12, -0.0799362064584458
1998-01, -0.605096220193901
1998-02, -0.711280897849115
1998-03, -0.851974287914585
1998-04, -0.492087385763564
1998-05, -0.556540437643432
1998-06, -0.181537178767653
1998-07, -0.219815256919093
1998-08, -0.468271082163061
1998-09, -0.488036145787093
1998-10, -0.658523777678608
1998-11, -0.919784820069739
1998-12, -1.13622437597802
1999-01, -1.22471567902084
1999-02, -1.16005393316741
1999-03, -0.782555704156593
1999-04, -0.661045163879269
1999-05, -0.483610649972163
1999-06, -0.809321683011384
1999-07, -0.733657793430741
1999-08, -0.180310152256693
1999-09, 0.201470761296818
1999-10, 0.104848304129738
1999-11, -0.0198613964813998
1999-12, -0.368554761094012
2000-01, -0.539320443636085
2000-02, -0.535281052192023
2000-03, -0.433035719616966
2000-04, -0.407187600708027
2000-05, -0.552822030792913
2000-06, -0.795853938997962
2000-07, -0.642110514706304
2000-08, -0.500894468507463
2000-09, -0.634094472781374
2000-10, -0.30987703599023
2000-11, 0.427597870054014
2000-12, 0.299853534350304
2001-01, 0.108373961204134
2001-02, 0.214280365629863
2001-03, 0.389024122553331
2001-04, 0.374562237677875
2001-05, 0.418950362431984
2001-06, 0.118733992720278
2001-07, 0.0178933550098703
2001-08, -0.309422250970299
2001-09, -0.419660265831666
2001-10, -0.372994937005335
2001-11, -0.227815966239192
2001-12, -0.330112809793389
2002-01, -0.355279644055479
2002-02, 0.168915856948694
2002-03, 0.237068774362512
2002-04, -0.184515220407659
2002-05, 0.58740168860556
2002-06, 0.572209435907146
2002-07, 0.623565942752278
2002-08, 0.880523762861465
2002-09, 1.0515535662881
2002-10, 0.613126748594722
2002-11, 0.65413813481112
2002-12, 0.593059088423062
2003-01, 0.483216360465296
2003-02, 0.380323367311414
2003-03, -0.0379636685845547
2003-04, 0.039988179203578
2003-05, -0.294995281139173
2003-06, -0.298056196369005
2003-07, -0.149294698061052
2003-08, -0.16083762371856
2003-09, -0.196179453439975
2003-10, -0.128386443476441
2003-11, 0.53513314712135
2003-12, 0.894045413733223
2004-01, 0.992321360566485
2004-02, 0.752589476987945
2004-03, 0.777010905952288
2004-04, 1.02428688755749
2004-05, 0.594522497299537
2004-06, 0.50002430140642
2004-07, 0.22084095861712
2004-08, 0.0197640468828941
2004-09, -0.290587044794409
2004-10, -0.156605461155462
2004-11, -0.478085561824392
2004-12, -0.613276016188232
2005-01, -0.740211910548008
2005-02, -0.698499521709295
2005-03, -0.560809895800625
2005-04, -0.359648621002075
2005-05, -0.254806355721288
2005-06, -0.0611591338951574
2005-07, -0.0847279249202557
2005-08, 0.207758224422287
2005-09, 0.454609617075012
2005-10, 0.483864798970584
2005-11, -0.0585902538274555
2005-12, -0.500024899938458
2006-01, -0.564509339747487
2006-02, -0.582608249918492
2006-03, -0.528846464364947
2006-04, -0.783724789086137
2006-05, -1.21378511053748
2006-06, -1.17013670618216
2006-07, -1.21529151104029
2006-08, -1.11306428569651
2006-09, -0.249697747579093
2006-10, -0.523599066537295
2006-11, -0.76277780198513
2006-12, -0.625266752491412
2007-01, -0.574387460553126
2007-02, -0.565486789064978
2007-03, -0.557530279301721
2007-04, -0.973065389953317
2007-05, -0.971254757838061
2007-06, -0.490900684137744
2007-07, -0.721377392252984
2007-08, -0.507549795503703
2007-09, -0.692396964362993
2007-10, -0.940582907059667
2007-11, -0.764120998830244
2007-12, -0.905261578616169
2008-01, -0.885260672962467
2008-02, -0.9734531289031
2008-03, -1.05284928495139
2008-04, -0.901514231820055
2008-05, -0.571737784420222
2008-06, -0.199309979153802
2008-07, 0.0885802140231934
2008-08, 0.141781597718485
2008-09, -0.466620614836755
2008-10, -0.561509928631975
2008-11, 0.159685589941902
2008-12, 0.411722897165118
2009-01, 0.469598482325285
2009-02, 0.622384319587581
2009-03, 0.882120268422935
2009-04, 1.43119945859096
2009-05, 1.41511053203567
2009-06, 1.13341861390737
2009-07, 1.19453655670369
2009-08, 0.943785089363152
2009-09, 0.96874344311251
2009-10, 0.859833707639727
2009-11, 1.03266787047797
2009-12, 1.10887013871487
2010-01, 1.03814844959137
2010-02, 1.20896344598662
2010-03, 1.36299631095699
2010-04, 1.24112747834539
2010-05, 1.46542030345817
2010-06, 1.48688031478913
